No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
364,LVS,Las Vegas Sands Corp.,10.37B,51.86,-1.12%,39.08B
365,OMI,"Owens & Minor, Inc.",10.33B,25.72,-2.50%,1.97B
366,BAH,Booz Allen Hamilton Holding Corporation,10.32B,142.71,-0.55%,18.52B
367,HLT,Hilton Worldwide Holdings Inc.,10.24B,209.59,-0.15%,52.85B
368,TOL,"Toll Brothers, Inc.",10.16B,118.58,-4.62%,12.35B
369,EBAY,eBay Inc.,10.11B,52.46,0.96%,27.17B
370,AJG,Arthur J. Gallagher & Co.,10.07B,240.02,-1.68%,52.04B
371,LPLA,LPL Financial Holdings Inc.,10.05B,259.54,0.52%,19.32B
372,CINF,Cincinnati Financial Corporation,10.01B,120.84,0.80%,18.93B
373,AMRK,"A-Mark Precious Metals, Inc.",10.00B,39.79,5.43%,925.54M
374,MSI,"Motorola Solutions, Inc.",9.98B,347.45,-1.56%,57.89B
375,NWSA,News Corporation,9.97B,24.83,-2.67%,14.24B
376,ABNB,"Airbnb, Inc.",9.92B,160.28,-1.46%,103.75B
377,ICE,"Intercontinental Exchange, Inc.",9.90B,132.94,-1.57%,74.49B
378,SCCO,Southern Copper Corporation,9.90B,116.21,-0.21%,89.84B
379,CMG,"Chipotle Mexican Grill, Inc.",9.87B,"2,965.69",1.32%,81.32B
380,VRTX,Vertex Pharmaceuticals Incorporated,9.87B,397.58,-1.71%,102.70B
381,DFS,Discover Financial Services,9.84B,123.29,-1.64%,30.89B
382,BIIB,Biogen Inc.,9.84B,201.55,-2.41%,29.30B
383,FIS,"Fidelity National Information Services, Inc.",9.82B,72.63,-1.68%,41.87B
384,STZ,"Constellation Brands, Inc.",9.82B,264.92,0.74%,48.43B
385,GXO,"GXO Logistics, Inc.",9.78B,50.38,-5.62%,6.01B
386,SPTN,SpartanNash Company,9.73B,18.88,-1.31%,653.59M
387,BURL,"Burlington Stores, Inc.",9.73B,194.70,-2.38%,12.56B
388,WAB,Westinghouse Air Brake Technologies Corporation,9.68B,147.54,-0.22%,26.12B
389,OC,Owens Corning,9.68B,165.90,-2.19%,14.43B
390,KLAC,KLA Corporation,9.67B,687.12,-1.39%,92.92B
391,CQP,"Cheniere Energy Partners, L.P.",9.66B,47.09,-0.99%,22.79B
392,OSK,Oshkosh Corporation,9.66B,124.24,-0.67%,8.15B
393,GPN,Global Payments Inc.,9.65B,125.01,-2.46%,32.25B
394,ALB,Albemarle Corporation,9.62B,127.65,-1.17%,15.00B
395,JBLU,JetBlue Airways Corporation,9.62B,6.83,-3.67%,2.32B
396,SEB,Seaboard Corporation,9.56B,"3,162.68",-0.09%,3.07B
397,GPK,Graphic Packaging Holding Company,9.43B,28.74,-2.24%,8.80B
398,ARKO,Arko Corp.,9.41B,4.85,-5.27%,582.00M
399,CTAS,Cintas Corporation,9.41B,670.96,-1.00%,68.08B
400,HTZ,"Hertz Global Holdings, Inc.",9.37B,7.30,-6.41%,2.23B
401,NVR,"NVR, Inc.",9.31B,"7,658.13",-3.95%,24.49B
402,EXPD,"Expeditors International of Washington, Inc.",9.30B,118.32,-2.21%,17.03B
403,CPB,Campbell Soup Company,9.27B,43.68,-1.73%,13.02B
404,SMCI,"Super Micro Computer, Inc.",9.25B,908.54,0.48%,53.20B
405,DGX,Quest Diagnostics Incorporated,9.25B,131.62,-0.85%,14.57B
406,CVI,"CVR Energy, Inc.",9.25B,35.03,-0.62%,3.52B
407,ATUS,"Altice USA, Inc.",9.24B,2.34,-3.70%,1.07B
408,PVH,PVH Corp.,9.22B,109.75,-0.70%,6.33B
409,EMN,Eastman Chemical Company,9.21B,100.65,-1.28%,11.81B
410,NSIT,"Insight Enterprises, Inc.",9.18B,182.57,-2.00%,5.95B
411,ROK,"Rockwell Automation, Inc.",9.13B,282.06,-1.66%,32.32B
412,BECN,"Beacon Roofing Supply, Inc.",9.12B,99.06,-0.66%,6.28B
413,MTB,M&T Bank Corporation,9.00B,134.86,-4.19%,22.47B
414,NOW,"ServiceNow, Inc.",8.97B,769.19,-1.67%,157.68B
415,SIRI,Sirius XM Holdings Inc.,8.95B,3.34,-3.19%,12.83B
416,PII,Polaris Inc.,8.93B,92.29,-5.48%,5.21B
417,WEC,"WEC Energy Group, Inc.",8.89B,79.72,-2.67%,25.16B
418,BTSG,"BrightSpring Health Services, Inc.",8.83B,10.44,0.19%,1.79B
419,CHK,Chesapeake Energy Corporation,8.72B,90.00,0.10%,11.77B
420,CNP,"CenterPoint Energy, Inc.",8.70B,27.37,-3.22%,17.29B
421,DASH,"DoorDash, Inc.",8.64B,137.18,0.30%,55.42B
422,NOV,NOV Inc.,8.58B,20.28,0.15%,7.99B
423,NCLH,Norwegian Cruise Line Holdings Ltd.,8.55B,18.40,-5.20%,7.83B
424,ZTS,Zoetis Inc.,8.54B,163.20,-2.36%,74.72B
425,MCHP,Microchip Technology Incorporated,8.54B,88.09,-3.91%,47.60B
426,SANM,Sanmina Corporation,8.45B,58.45,-1.40%,3.26B
427,DOV,Dover Corporation,8.44B,173.83,-1.98%,23.88B
428,FANG,"Diamondback Energy, Inc.",8.41B,206.23,0.34%,36.78B
429,CMC,Commercial Metals Company,8.41B,57.22,-1.77%,6.62B
430,AVY,Avery Dennison Corporation,8.36B,215.52,-1.82%,17.35B
431,PPL,PPL Corporation,8.31B,26.92,-2.22%,19.86B
432,AGR,"Avangrid, Inc.",8.31B,35.91,0.17%,13.89B
433,UGI,UGI Corporation,8.29B,24.24,-3.00%,5.08B
434,ON,ON Semiconductor Corporation,8.25B,69.23,-2.41%,29.58B
435,PARR,"Par Pacific Holdings, Inc.",8.23B,34.99,-1.88%,2.08B
436,ALLY,Ally Financial Inc.,8.21B,37.89,-3.22%,11.52B
437,SJM,The J. M. Smucker Company,8.21B,113.54,-3.26%,12.06B
438,FITB,Fifth Third Bancorp,8.19B,34.79,-4.40%,23.78B
439,APA,APA Corporation,8.19B,35.05,0.46%,13.00B
440,EQIX,"Equinix, Inc.",8.19B,775.97,-3.15%,73.42B
441,ABM,ABM Industries Incorporated,8.17B,43.10,-1.53%,2.73B
442,FL,"Foot Locker, Inc.",8.17B,22.71,-2.70%,2.15B
443,INGR,Ingredion Incorporated,8.16B,112.88,-0.22%,7.40B
444,NWL,Newell Brands Inc.,8.13B,7.33,-3.68%,3.04B
445,PLD,"Prologis, Inc.",8.02B,120.62,-4.47%,111.58B
446,BX,Blackstone Inc.,8.02B,126.08,-4.48%,152.79B
447,SKX,"Skechers U.S.A., Inc.",8.00B,57.20,-1.63%,8.77B
448,MAS,Masco Corporation,7.97B,73.99,-3.57%,16.26B
449,RUSHA,"Rush Enterprises, Inc.",7.93B,51.14,-2.31%,3.95B
450,RUSHB,"Rush Enterprises, Inc.",7.93B,49.20,-2.42%,3.95B
451,CNXC,Concentrix Corporation,7.88B,59.42,-3.85%,3.92B
452,BEN,"Franklin Resources, Inc.",7.87B,26.30,-4.50%,13.85B
453,ODP,The ODP Corporation,7.83B,51.08,-0.43%,1.87B
454,AFG,"American Financial Group, Inc.",7.83B,129.27,-1.31%,10.81B
455,PKG,Packaging Corporation of America,7.80B,187.82,-1.07%,16.83B
456,VMC,Vulcan Materials Company,7.78B,264.56,-0.40%,34.98B
457,WSM,"Williams-Sonoma, Inc.",7.75B,293.24,-5.10%,18.80B
458,XPO,"XPO Logistics, Inc.",7.74B,125.71,-1.28%,14.60B
459,BBUC,Brookfield Business Corporation,7.68B,21.25,-4.84%,1.55B
460,WY,Weyerhaeuser Company,7.67B,33.60,-4.08%,24.51B
461,SYF,Synchrony Financial,7.66B,41.44,-2.10%,16.86B
462,EA,Electronic Arts Inc.,7.66B,129.30,-1.06%,34.57B
463,CFG,"Citizens Financial Group, Inc.",7.54B,33.81,-3.37%,15.50B
464,PANW,"Palo Alto Networks, Inc.",7.53B,281.00,0.67%,90.79B
465,AEE,Ameren Corporation,7.50B,72.28,-2.31%,19.25B
466,GNW,"Genworth Financial, Inc.",7.49B,6.02,-2.90%,2.66B
467,CMS,CMS Energy Corporation,7.46B,58.14,-1.86%,17.36B
468,SAIC,Science Applications International Corporation,7.44B,126.34,-1.03%,6.53B
469,BBWI,"Bath & Body Works, Inc.",7.43B,45.37,-1.67%,10.20B
470,TMHC,Taylor Morrison Home Corporation,7.42B,56.30,-4.61%,5.99B
471,ZBH,"Zimmer Biomet Holdings, Inc.",7.39B,127.72,-1.30%,26.67B
472,GFS,GLOBALFOUNDRIES Inc.,7.39B,49.35,-4.53%,27.03B
473,POST,"Post Holdings, Inc.",7.39B,101.34,-0.81%,6.15B
474,NGL,NGL Energy Partners LP,7.38B,6.05,2.54%,801.70M
475,XYL,Xylem Inc.,7.36B,128.19,-0.57%,30.99B
476,VOYA,"Voya Financial, Inc.",7.35B,70.00,-1.78%,7.11B
477,FAST,Fastenal Company,7.35B,74.74,-1.53%,42.78B
478,RPM,RPM International Inc.,7.34B,110.64,-2.15%,14.25B
479,CLX,The Clorox Company,7.31B,144.37,0.24%,17.92B
480,WSO.B,"Watsco, Inc.",7.28B,424.75,-,16.73B
481,WSO,"Watsco, Inc.",7.28B,423.34,-3.15%,16.72B
482,WDAY,"Workday, Inc.",7.26B,266.86,-1.56%,69.92B
483,ORI,Old Republic International Corporation,7.26B,29.62,-1.63%,8.24B
484,UFPI,"UFP Industries, Inc.",7.22B,114.70,-4.13%,7.06B
485,KNX,Knight-Swift Transportation Holdings Inc.,7.14B,51.54,-3.93%,8.32B
486,MNST,Monster Beverage Corporation,7.14B,54.81,-1.69%,57.04B
487,CACI,CACI International Inc,7.13B,367.31,-1.47%,8.19B
488,ISRG,"Intuitive Surgical, Inc.",7.12B,388.46,-0.64%,137.69B
489,OI,"O-I Glass, Inc.",7.11B,16.10,0.31%,2.47B
490,YUM,"Yum! Brands, Inc.",7.08B,137.95,0.68%,38.81B
491,RF,Regions Financial Corporation,7.02B,19.68,-4.88%,18.08B
492,CCI,Crown Castle Inc.,6.98B,97.70,-4.22%,42.45B
493,TDG,TransDigm Group Incorporated,6.98B,"1,219.91",0.33%,67.83B
494,AVTR,"Avantor, Inc.",6.97B,25.56,-1.16%,17.36B
495,HBAN,Huntington Bancshares Incorporated,6.96B,13.58,-3.28%,19.77B
496,KBR,"KBR, Inc.",6.96B,63.92,-0.51%,8.63B
497,OPEN,Opendoor Technologies Inc.,6.95B,2.45,-10.58%,1.67B
498,APG,APi Group Corporation,6.93B,38.89,-1.57%,10.32B
499,EQT,EQT Corporation,6.91B,37.71,-0.63%,16.62B
500,ENLC,"EnLink Midstream, LLC",6.90B,13.80,0.15%,6.25B
